Семья,Язык,Название
Тюркская семья,Башкирский,Башҡорт билмәне
Тюркская семья,Чувашский,Хуран кукли
Тюркская семья,Якутский,не найдено
Тюркская семья,Тувинский,"Манчи, Пуца"
Тюркская семья,Татарский,Юфакъ-аш
Тунгусо-манчжурская семья,Нанайский,Бианси (Бянгси)
Тунгусо-манчжурская семья,Эвенкийский,не найдено
Монгольская семья,Бурятский,Буузы
Монгольская семья,Калмыцкий,Берики
Уральская семья,Карельский,не найдено
Уральская семья,Удмуртский,Пельнянь
Уральская семья,Коми,Пельмени с редькой
Уральская семья,Ханты,не найдено
Уральская семья,Манси,не найдено
Уральская семья,Мордовские,Цемор (Цемарт)
Уральская семья,Марийские,Подкогыльо
Уральская семья,Ненецкий,не найдено
Чукотско-камчатская семья,Чукотский,не найдено
Нахско-дагестанская семья,Чеченский,Холтмаш
Нахско-дагестанская семья,Ингушский,на найдено
Нахско-дагестанская семья,Аварский,"Курзэ (МичIчIил-хинкIал, Юмурта Хинкал)"
Нахско-дагестанская семья,Лезгинский,"Курзэ (Пичекар, Пичӏекар, Пчекар)"
Абхазо-адыгская семья,Адыгейский,Лихалюж
Абхазо-адыгская семья,Абазинский,Псхалъыва
Индоевропейская семья,Русский,"Пельмени, Вареники"
Индоевропейская семья,Цыганский,Канорэ
Индоевропейская семья,Осетинский,не найдено